required_skills,candidate_skills,degree,years_experience,overlap,fit,probability,missing_skills
"etl, hadoop, node.js, pytorch, r, sql","git, javascript, linux, node.js, numpy, pandas, scikit-learn",0.0,2.1,1.0,0.0,0.313,"etl, hadoop, pytorch, r, sql"
"airflow, gcp, java, pandas, react, sql","aws, git, node.js, power bi",1.0,2.2,0.0,0.0,0.216,"airflow, gcp, java, pandas, react, sql"
"etl, gcp, javascript, pandas, r, spark, tensorflow, typescript","airflow, django, excel, flask, gcp, graphql, pandas, rest",1.0,4.6,2.0,1.0,0.488,"etl, javascript, r, spark, tensorflow, typescript"
"docker, excel, javascript, numpy, python, sql, typescript","git, javascript, numpy, rest, react, spark",1.0,0.5,2.0,1.0,0.365,"docker, excel, python, sql, typescript"
"aws, docker, hadoop, numpy, python, scikit-learn","airflow, django, java, linux, sql",3.0,3.5,0.0,1.0,0.315,"aws, docker, hadoop, numpy, python, scikit-learn"
"flask, graphql, hadoop, node.js, spark","airflow, pytorch, tableau, tensorflow",1.0,0.4,0.0,0.0,0.162,"flask, graphql, hadoop, node.js, spark"
"django, graphql, numpy, power bi, rest, react, sql, scikit-learn","aws, airflow, java, kubernetes, linux, numpy, pandas, pytorch, typescript",1.0,4.9,1.0,0.0,0.397,"django, graphql, power bi, rest, react, sql, scikit-learn"
"airflow, etl, excel, gcp, graphql","aws, airflow, docker, flask, spark, tensorflow",1.0,0.9,1.0,1.0,0.277,"etl, excel, gcp, graphql"
"ci/cd, excel, gcp, git, node.js, tensorflow","excel, gcp, scikit-learn, typescript",1.0,3.0,2.0,1.0,0.44,"ci/cd, git, node.js, tensorflow"
"aws, kubernetes, python, sql, scikit-learn","aws, django, java, react, sql, tableau",1.0,1.5,2.0,1.0,0.395,"kubernetes, python, scikit-learn"
"ci/cd, git, hadoop, javascript, react, typescript","excel, gcp, node.js, sql, scikit-learn, tensorflow",1.0,2.3,0.0,0.0,0.219,"ci/cd, git, hadoop, javascript, react, typescript"
"airflow, django, javascript, linux, numpy, pandas, power bi","aws, graphql, java, node.js, numpy, pandas, pytorch, react",1.0,2.6,2.0,0.0,0.428,"airflow, django, javascript, linux, power bi"
"excel, hadoop, node.js, pytorch, react","airflow, django, linux, node.js",2.0,4.4,1.0,1.0,0.442,"excel, hadoop, pytorch, react"
"airflow, docker, gcp, git, linux, numpy, python, sql","django, git, kubernetes, numpy, python, rest, typescript",3.0,6.6,3.0,1.0,0.708,"airflow, docker, gcp, linux, sql"
"ci/cd, excel, graphql, node.js, tableau, typescript","etl, gcp, graphql, hadoop, python",1.0,3.1,1.0,0.0,0.343,"ci/cd, excel, node.js, tableau, typescript"
"azure, flask, graphql, java, numpy, pytorch, sql, spark","aws, azure, javascript, sql, scikit-learn, spark",3.0,5.1,3.0,1.0,0.663,"flask, graphql, java, numpy, pytorch"
"aws, java, numpy, react, spark","excel, graphql, pandas, pytorch",1.0,4.6,0.0,0.0,0.288,"aws, java, numpy, react, spark"
"docker, java, numpy, pandas, power bi, rest, spark, tableau","airflow, etl, flask, java, kubernetes, rest, sql, scikit-learn, tableau",1.0,0.6,3.0,0.0,0.468,"docker, numpy, pandas, power bi, spark"
"aws, etl, node.js, numpy, scikit-learn","azure, django, docker, etl, graphql, linux, pytorch, sql",1.0,0.1,1.0,0.0,0.253,"aws, node.js, numpy, scikit-learn"
"ci/cd, docker, gcp, javascript, linux, python, react, tensorflow","aws, airflow, azure, django, flask, git, java, pytorch, r, sql",1.0,1.8,0.0,0.0,0.204,"ci/cd, docker, gcp, javascript, linux, python, react, tensorflow"
"django, gcp, linux, react, typescript","etl, gcp, graphql, hadoop, r",2.0,1.7,1.0,0.0,0.361,"django, linux, react, typescript"
"gcp, java, pandas, python, r, sql","airflow, flask, git, hadoop, javascript, node.js, tableau",2.0,3.4,0.0,1.0,0.312,"gcp, java, pandas, python, r, sql"
"aws, django, graphql, power bi, typescript","airflow, docker, etl, graphql, java, node.js, pytorch, python, sql, scikit-learn",2.0,2.6,1.0,0.0,0.388,"aws, django, power bi, typescript"
"etl, power bi, rest, tensorflow, typescript","aws, java, javascript, numpy, react",1.0,4.1,0.0,1.0,0.273,"etl, power bi, rest, tensorflow, typescript"
"azure, docker, etl, gcp, java, tensorflow, typescript","gcp, javascript, kubernetes, r, rest, scikit-learn",1.0,3.7,1.0,0.0,0.361,"azure, docker, etl, java, tensorflow, typescript"
"airflow, flask, git, graphql, r, scikit-learn","azure, kubernetes, linux, pytorch, python, spark",1.0,1.5,0.0,0.0,0.195,"airflow, flask, git, graphql, r, scikit-learn"
"etl, flask, graphql, java, javascript, node.js, pandas, typescript","django, graphql, power bi, rest, sql, typescript",1.0,2.9,2.0,1.0,0.437,"etl, flask, java, javascript, node.js, pandas"
"docker, etl, hadoop, spark, tableau","django, pandas, sql, spark",0.0,6.1,1.0,0.0,0.433,"docker, etl, hadoop, tableau"
"aws, django, git, kubernetes, node.js, sql","aws, azure, django, excel, git, pytorch, r, scikit-learn, spark",1.0,2.2,3.0,1.0,0.516,"kubernetes, node.js, sql"
"aws, airflow, azure, graphql, r, spark, typescript","airflow, graphql, numpy, sql",2.0,4.8,2.0,1.0,0.554,"aws, azure, r, spark, typescript"
"django, git, linux, node.js, numpy, rest, spark","azure, excel, gcp, node.js, pandas, power bi",2.0,0.4,1.0,1.0,0.322,"django, git, linux, numpy, rest, spark"
"ci/cd, docker, flask, hadoop, react","azure, excel, hadoop, power bi, rest, spark",3.0,5.3,1.0,1.0,0.469,"ci/cd, docker, flask, react"
"azure, etl, flask, javascript, kubernetes, tensorflow","aws, airflow, etl, excel, gcp, graphql, linux, scikit-learn",1.0,2.5,1.0,0.0,0.325,"azure, flask, javascript, kubernetes, tensorflow"
"airflow, azure, hadoop, tableau, typescript","aws, docker, gcp, graphql, linux, power bi, scikit-learn, spark",2.0,1.0,0.0,1.0,0.24,"airflow, azure, hadoop, tableau, typescript"
"docker, git, node.js, pytorch, python","javascript, python, rest, sql, spark",1.0,4.9,1.0,0.0,0.397,"docker, git, node.js, pytorch"
"airflow, node.js, numpy, power bi, pytorch, sql","airflow, django, flask, git, graphql, java, javascript, node.js, python, scikit-learn",1.0,4.4,2.0,0.0,0.482,"numpy, power bi, pytorch, sql"
"azure, ci/cd, javascript, kubernetes, node.js, power bi, r, react","django, excel, git, hadoop, python, tensorflow",1.0,1.9,0.0,0.0,0.207,"azure, ci/cd, javascript, kubernetes, node.js, power bi, r, react"
"aws, excel, graphql, hadoop, numpy, python, r, sql","airflow, git, linux, node.js, pandas, pytorch, react, tensorflow, typescript",1.0,3.6,0.0,1.0,0.258,"aws, excel, graphql, hadoop, numpy, python, r, sql"
"aws, airflow, power bi, pytorch, react","airflow, ci/cd, flask, gcp, linux, r, react, spark, tableau",2.0,3.6,2.0,1.0,0.518,"aws, power bi, pytorch"
"azure, graphql, java, javascript, r","hadoop, node.js, numpy, r, rest, sql, spark",1.0,4.0,1.0,1.0,0.37,"azure, graphql, java, javascript"
"azure, docker, flask, linux, r, tableau","airflow, ci/cd, docker, graphql, hadoop, linux, pandas, typescript",2.0,0.0,2.0,0.0,0.41,"azure, flask, r, tableau"
"airflow, docker, git, graphql, javascript, sql, spark","docker, numpy, pytorch, sql",1.0,2.8,2.0,0.0,0.434,"airflow, git, graphql, javascript, spark"
"aws, azure, django, etl, tableau, typescript","azure, ci/cd, django, git, graphql, hadoop, pandas, r, rest, react",1.0,2.8,2.0,0.0,0.434,"aws, etl, tableau, typescript"
"aws, django, excel, gcp, git, spark","docker, gcp, git, kubernetes, linux, node.js, power bi, python, tableau, typescript",2.0,2.0,2.0,0.0,0.47,"aws, django, excel, spark"
"azure, numpy, pytorch, rest, typescript","aws, azure, gcp, graphql, javascript, kubernetes, python, sql, tensorflow",3.0,3.5,1.0,0.0,0.415,"numpy, pytorch, rest, typescript"
"aws, airflow, ci/cd, java, kubernetes, pandas, python, tableau","etl, excel, javascript, pytorch, rest",2.0,1.3,0.0,0.0,0.249,"aws, airflow, ci/cd, java, kubernetes, pandas, python, tableau"
"excel, numpy, power bi, r, spark","aws, airflow, django, etl, java, scikit-learn",1.0,5.2,0.0,1.0,0.306,"excel, numpy, power bi, r, spark"
"django, docker, excel, git, numpy, pytorch, python, rest","ci/cd, docker, gcp, node.js, numpy, power bi, python, rest, tensorflow",1.0,3.9,4.0,0.0,0.667,"django, excel, git, pytorch"
"airflow, django, pandas, r, sql","django, hadoop, power bi, spark, tableau",1.0,2.5,1.0,0.0,0.325,"airflow, pandas, r, sql"
"docker, excel, graphql, python, r, sql","azure, django, javascript, pandas, power bi, python, rest, scikit-learn, tensorflow",1.0,4.9,1.0,0.0,0.397,"docker, excel, graphql, r, sql"
"airflow, docker, gcp, git, node.js, spark","airflow, flask, kubernetes, power bi, rest, react, sql, tableau, tensorflow",1.0,5.3,1.0,0.0,0.409,"docker, gcp, git, node.js, spark"
"graphql, kubernetes, python, tableau, tensorflow","flask, pandas, sql, scikit-learn",1.0,4.5,0.0,0.0,0.285,"graphql, kubernetes, python, tableau, tensorflow"
"aws, ci/cd, git, kubernetes, linux, r, rest, spark","azure, etl, numpy, r",1.0,3.7,1.0,0.0,0.361,"aws, ci/cd, git, kubernetes, linux, rest, spark"
"aws, azure, pytorch, r, sql, spark","git, hadoop, pandas, r",1.0,2.6,1.0,1.0,0.328,"aws, azure, pytorch, sql, spark"
"azure, docker, java, javascript, scikit-learn, tableau","airflow, excel, pandas, scikit-learn, spark",3.0,0.9,1.0,0.0,0.337,"azure, docker, java, javascript, tableau"
"azure, javascript, kubernetes, node.js, pandas, power bi","azure, graphql, pandas, typescript",1.0,2.3,2.0,0.0,0.419,"javascript, kubernetes, node.js, power bi"
"azure, java, scikit-learn, tableau, tensorflow","airflow, ci/cd, docker, excel, git, graphql, kubernetes, sql",2.0,1.5,0.0,0.0,0.255,"azure, java, scikit-learn, tableau, tensorflow"
"aws, azure, ci/cd, etl, flask, pandas, react","excel, flask, graphql, hadoop, kubernetes, python, react, spark, tableau, typescript",2.0,2.8,2.0,0.0,0.494,"aws, azure, ci/cd, etl, pandas"
"airflow, linux, pandas, pytorch, r, sql, spark","aws, linux, scikit-learn, tableau",3.0,5.6,1.0,1.0,0.478,"airflow, pandas, pytorch, r, sql, spark"
"azure, django, flask, graphql, java, node.js, spark","aws, ci/cd, flask, gcp, hadoop, kubernetes, node.js, spark, tableau, typescript",1.0,5.7,3.0,1.0,0.621,"azure, django, graphql, java"
"etl, java, linux, node.js, python, spark","docker, javascript, kubernetes, pandas, power bi, pytorch, rest, sql, spark, tensorflow",2.0,3.7,1.0,0.0,0.421,"etl, java, linux, node.js, python"
"kubernetes, linux, pytorch, rest, scikit-learn, tensorflow","ci/cd, git, hadoop, java, numpy, pandas, power bi, spark, tableau",2.0,0.0,0.0,0.0,0.21,"kubernetes, linux, pytorch, rest, scikit-learn, tensorflow"
"aws, excel, flask, numpy, power bi, spark, tableau, typescript","aws, graphql, spark, tensorflow",1.0,8.7,2.0,1.0,0.611,"excel, flask, numpy, power bi, tableau, typescript"
"azure, django, docker, etl, r","ci/cd, git, java, javascript, tableau",0.0,2.8,0.0,0.0,0.234,"azure, django, docker, etl, r"
"git, graphql, hadoop, kubernetes, python, r, tableau, typescript","excel, flask, graphql, hadoop, java, linux, power bi",1.0,4.1,2.0,0.0,0.473,"git, kubernetes, python, r, tableau, typescript"
"aws, etl, graphql, linux, node.js, numpy, pytorch","ci/cd, graphql, java, kubernetes, node.js, power bi, python, r, scikit-learn, typescript",2.0,3.4,2.0,1.0,0.512,"aws, etl, linux, numpy, pytorch"
"django, flask, linux, node.js, python","airflow, flask, gcp, numpy, power bi, sql",2.0,3.6,1.0,1.0,0.418,"django, linux, node.js, python"
"django, graphql, javascript, node.js, tableau","airflow, excel, power bi, pytorch",2.0,6.5,0.0,0.0,0.405,"django, graphql, javascript, node.js, tableau"
"azure, flask, r, sql, spark","aws, excel, graphql, java, linux, pandas, python, spark",2.0,0.7,1.0,0.0,0.331,"azure, flask, r, sql"
"django, docker, graphql, sql, tableau","flask, gcp, git, graphql, power bi, pytorch",1.0,5.1,1.0,0.0,0.403,"django, docker, sql, tableau"
"django, etl, git, hadoop, rest, react, tableau","graphql, kubernetes, pandas, pytorch",2.0,0.8,0.0,0.0,0.234,"django, etl, git, hadoop, rest, react, tableau"
"aws, airflow, kubernetes, node.js, python, r, sql, typescript","django, flask, git, java, node.js, numpy, pytorch, r, spark, typescript",1.0,3.9,3.0,0.0,0.567,"aws, airflow, kubernetes, python, sql"
"gcp, node.js, pytorch, rest, sql, tensorflow","aws, ci/cd, django, hadoop, rest, sql, typescript",1.0,2.7,2.0,1.0,0.431,"gcp, node.js, pytorch, tensorflow"
"etl, flask, git, javascript, numpy, pytorch, sql","airflow, docker, javascript, kubernetes, numpy, power bi, pytorch, scikit-learn",3.0,3.1,3.0,1.0,0.603,"etl, flask, git, sql"
"graphql, java, linux, pandas, python, rest","aws, airflow, flask, graphql, javascript, kubernetes, node.js, react, tableau, typescript",1.0,0.9,1.0,0.0,0.277,"java, linux, pandas, python, rest"
"excel, javascript, pandas, power bi, react","etl, flask, gcp, graphql, hadoop, node.js, numpy, pandas, react, tensorflow",1.0,3.9,2.0,0.0,0.467,"excel, javascript, power bi"
"aws, azure, django, power bi, tensorflow","airflow, etl, gcp, hadoop, sql, tensorflow, typescript",2.0,6.7,1.0,1.0,0.511,"aws, azure, django, power bi"
"airflow, excel, kubernetes, linux, react","airflow, docker, etl, node.js, pytorch, sql, spark, tensorflow",2.0,2.4,1.0,1.0,0.382,"excel, kubernetes, linux, react"
"airflow, azure, django, docker, flask, react, tensorflow, typescript","ci/cd, docker, excel, numpy, power bi, tensorflow",1.0,5.6,2.0,1.0,0.518,"airflow, azure, django, flask, react, typescript"
"graphql, java, numpy, pytorch, react, tableau","aws, docker, excel, git, hadoop, numpy, pandas, tableau, tensorflow",3.0,4.9,2.0,0.0,0.557,"graphql, java, pytorch, react"
"aws, git, python, react, tableau","aws, airflow, ci/cd, etl, kubernetes, node.js, spark",1.0,1.5,1.0,0.0,0.295,"git, python, react, tableau"
"etl, excel, gcp, pandas, python, r, tensorflow","aws, ci/cd, etl, flask, gcp, spark, typescript",1.0,3.5,2.0,0.0,0.455,"excel, pandas, python, r, tensorflow"
"airflow, django, excel, hadoop, pandas, react","django, flask, hadoop, java, linux, python, react, typescript",2.0,0.9,3.0,0.0,0.537,"airflow, excel, pandas"
"docker, flask, gcp, hadoop, pandas, scikit-learn, spark","airflow, ci/cd, java, kubernetes, node.js, pytorch, react",1.0,2.9,0.0,0.0,0.237,"docker, flask, gcp, hadoop, pandas, scikit-learn, spark"
"docker, excel, gcp, git, hadoop, r, react, typescript","ci/cd, django, pytorch, scikit-learn, spark",1.0,3.3,0.0,0.0,0.249,"docker, excel, gcp, git, hadoop, r, react, typescript"
"excel, graphql, java, node.js, tensorflow","flask, java, power bi, spark",1.0,0.0,1.0,1.0,0.25,"excel, graphql, node.js, tensorflow"
"airflow, docker, excel, graphql, pytorch, r, scikit-learn","aws, azure, gcp, graphql, kubernetes, sql, spark, tableau",1.0,1.5,1.0,0.0,0.295,"airflow, docker, excel, pytorch, r, scikit-learn"
"etl, git, node.js, python, rest, react, typescript","aws, gcp, graphql, hadoop, javascript, linux, pandas, power bi, sql",1.0,0.7,0.0,0.0,0.171,"etl, git, node.js, python, rest, react, typescript"
"excel, node.js, pandas, react, tableau, tensorflow","airflow, flask, kubernetes, pytorch, sql",1.0,4.3,0.0,0.0,0.279,"excel, node.js, pandas, react, tableau, tensorflow"
"azure, etl, python, scikit-learn, spark","azure, ci/cd, git, graphql, hadoop, java, javascript, power bi, tableau, tensorflow",1.0,2.7,1.0,0.0,0.331,"etl, python, scikit-learn, spark"
"azure, etl, javascript, python, tensorflow","aws, django, etl, git, hadoop, node.js, power bi, sql",1.0,0.0,1.0,0.0,0.25,"azure, javascript, python, tensorflow"
"azure, etl, kubernetes, linux, numpy, spark, typescript","ci/cd, etl, gcp, javascript, linux, r, react",1.0,5.8,2.0,1.0,0.524,"azure, kubernetes, numpy, spark, typescript"
"azure, etl, gcp, git, kubernetes, power bi, r, react","azure, django, java, r",1.0,2.4,2.0,0.0,0.422,"etl, gcp, git, kubernetes, power bi, react"
"docker, flask, gcp, javascript, power bi, scikit-learn, tensorflow","etl, flask, javascript, power bi, react, sql",1.0,3.9,3.0,1.0,0.567,"docker, gcp, scikit-learn, tensorflow"
"docker, etl, excel, flask, git, kubernetes, rest, scikit-learn","airflow, azure, excel, numpy",2.0,0.0,1.0,1.0,0.31,"docker, etl, flask, git, kubernetes, rest, scikit-learn"
"azure, ci/cd, django, docker, flask, sql, spark","excel, flask, javascript, numpy, pytorch, python, sql, scikit-learn, tableau",1.0,2.9,2.0,0.0,0.437,"azure, ci/cd, django, docker, spark"
"aws, django, javascript, r, spark, typescript","etl, excel, gcp, graphql, tableau",1.0,3.0,0.0,1.0,0.24,"aws, django, javascript, r, spark, typescript"
"aws, airflow, graphql, hadoop, sql, typescript","airflow, excel, hadoop, java, javascript, kubernetes, linux, numpy, tensorflow",1.0,1.4,2.0,0.0,0.392,"aws, graphql, sql, typescript"
"azure, etl, java, pytorch, python","aws, excel, flask, java",1.0,3.7,1.0,0.0,0.361,"azure, etl, pytorch, python"
"flask, graphql, java, javascript, kubernetes, tensorflow","airflow, docker, etl, javascript, pandas, r, scikit-learn, spark, typescript",2.0,5.0,1.0,1.0,0.46,"flask, graphql, java, kubernetes, tensorflow"
"ci/cd, etl, gcp, graphql, linux, numpy, tensorflow","airflow, ci/cd, graphql, hadoop, javascript, pandas, sql, tableau",2.0,3.9,2.0,1.0,0.527,"etl, gcp, linux, numpy, tensorflow"
"aws, gcp, hadoop, kubernetes, rest","airflow, django, docker, linux, numpy, r",3.0,5.2,0.0,0.0,0.366,"aws, gcp, hadoop, kubernetes, rest"
"aws, airflow, azure, javascript, pandas, sql, tableau, typescript","ci/cd, hadoop, java, javascript, node.js, python, r, scikit-learn",,3.8,1.0,1.0,0.364,"aws, airflow, azure, pandas, sql, tableau, typescript"
"airflow, docker, flask, node.js, numpy, scikit-learn","azure, django, docker, etl, git, node.js, rest, typescript",3.0,2.5,2.0,0.0,0.485,"airflow, flask, numpy, scikit-learn"
"java, pandas, power bi, python, rest, tableau","django, hadoop, javascript, linux",0.0,2.8,0.0,0.0,0.234,"java, pandas, power bi, python, rest, tableau"
"docker, flask, graphql, javascript, pandas","excel, java, kubernetes, linux, power bi, pytorch, tensorflow",1.0,4.8,0.0,0.0,0.294,"docker, flask, graphql, javascript, pandas"
"aws, django, excel, flask, pandas, pytorch, sql","django, numpy, pandas, pytorch, r, tensorflow",1.0,5.8,3.0,1.0,0.624,"aws, excel, flask, sql"
"aws, airflow, graphql, r, react, sql, spark","aws, azure, ci/cd, django, power bi, sql",1.0,2.4,2.0,0.0,0.422,"airflow, graphql, r, react, spark"
"azure, django, docker, gcp, pandas, sql, tableau","excel, graphql, java, power bi, scikit-learn",1.0,2.5,0.0,1.0,0.225,"azure, django, docker, gcp, pandas, sql, tableau"
"aws, ci/cd, hadoop, linux, pandas, spark","airflow, ci/cd, flask, gcp, java, linux, pandas, r, typescript",1.0,5.7,3.0,1.0,0.621,"aws, hadoop, spark"
"etl, kubernetes, numpy, power bi, python","ci/cd, kubernetes, pytorch, rest, tableau",2.0,3.8,1.0,1.0,0.424,"etl, numpy, power bi, python"
"airflow, docker, linux, rest, react","ci/cd, gcp, kubernetes, power bi, r, scikit-learn, tensorflow, typescript",1.0,0.8,0.0,0.0,0.174,"airflow, docker, linux, rest, react"
"etl, git, java, pandas, pytorch, rest, scikit-learn","azure, kubernetes, pytorch, tableau",2.0,0.4,1.0,0.0,0.322,"etl, git, java, pandas, rest, scikit-learn"
"aws, django, kubernetes, node.js, power bi, r, scikit-learn, typescript","airflow, azure, django, excel, gcp, hadoop, pandas, spark",2.0,2.7,1.0,0.0,0.391,"aws, kubernetes, node.js, power bi, r, scikit-learn, typescript"
"aws, ci/cd, git, hadoop, tableau, tensorflow","gcp, graphql, javascript, linux, pytorch, tableau",2.0,5.8,1.0,0.0,0.484,"aws, ci/cd, git, hadoop, tensorflow"
"gcp, kubernetes, python, react, spark, tableau, tensorflow","gcp, hadoop, kubernetes, sql, tensorflow, typescript",1.0,3.6,3.0,0.0,0.558,"python, react, spark, tableau"
"java, javascript, python, sql, tensorflow","aws, airflow, django, excel, graphql, javascript, python",2.0,3.1,2.0,1.0,0.503,"java, sql, tensorflow"
"airflow, django, docker, numpy, typescript","airflow, django, etl, gcp, javascript, linux, tensorflow, typescript",1.0,0.7,3.0,1.0,0.471,"docker, numpy"
"docker, flask, power bi, tableau, typescript","django, docker, gcp, javascript, linux, pandas, r, sql, tableau",1.0,7.4,2.0,0.0,0.572,"flask, power bi, typescript"
"django, etl, graphql, hadoop, pytorch, python","airflow, excel, gcp, linux, python, tensorflow",1.0,4.3,1.0,1.0,0.379,"django, etl, graphql, hadoop, pytorch"
"aws, airflow, etl, graphql, java, pandas, scikit-learn","azure, docker, etl, kubernetes, linux, pandas, r, sql, tensorflow",1.0,4.0,2.0,0.0,0.47,"aws, airflow, graphql, java, scikit-learn"
"excel, flask, java, node.js, python, scikit-learn","excel, java, javascript, numpy, tableau, typescript",1.0,4.0,2.0,0.0,0.47,"flask, node.js, python, scikit-learn"
"airflow, docker, git, hadoop, numpy, python","airflow, django, hadoop, linux, pandas, spark, tableau",2.0,0.0,2.0,0.0,0.41,"docker, git, numpy, python"
"airflow, azure, etl, numpy, pytorch, r, typescript","aws, power bi, python, r, rest, react, spark",2.0,1.0,1.0,1.0,0.34,"airflow, azure, etl, numpy, pytorch, typescript"
"airflow, java, kubernetes, node.js, numpy, power bi, r","aws, docker, gcp, git, python, tableau, tensorflow",1.0,2.9,0.0,0.0,0.237,"airflow, java, kubernetes, node.js, numpy, power bi, r"
"graphql, java, numpy, rest, react, scikit-learn, tensorflow, typescript","hadoop, javascript, node.js, pandas, react",2.0,6.8,1.0,1.0,0.514,"graphql, java, numpy, rest, scikit-learn, tensorflow, typescript"
"airflow, docker, flask, graphql, java, react","aws, azure, ci/cd, excel, git, kubernetes, node.js, sql, scikit-learn",1.0,5.4,0.0,0.0,0.312,"airflow, docker, flask, graphql, java, react"
"django, etl, javascript, rest, spark","aws, flask, gcp, hadoop, javascript, numpy, pandas, power bi",0.0,6.3,1.0,1.0,0.439,"django, etl, rest, spark"
"gcp, graphql, hadoop, rest, tensorflow, typescript","azure, etl, graphql, power bi, python, tensorflow",3.0,3.6,2.0,0.0,0.518,"gcp, hadoop, rest, typescript"
"django, gcp, graphql, java, kubernetes, python, r, react","azure, etl, excel, flask, gcp, java, kubernetes, sql, scikit-learn, typescript",2.0,0.8,3.0,0.0,0.534,"django, graphql, python, r, react"
"azure, django, excel, python, react","docker, java, javascript, linux, pandas, tableau",1.0,3.0,0.0,0.0,0.24,"azure, django, excel, python, react"
"airflow, docker, git, graphql, r","aws, ci/cd, django, git, javascript, pytorch, python, r",1.0,6.3,2.0,0.0,0.539,"airflow, docker, graphql"
"ci/cd, django, kubernetes, numpy, pytorch, python","aws, git, hadoop, java, kubernetes, node.js, rest, tensorflow",1.0,4.5,1.0,0.0,0.385,"ci/cd, django, numpy, pytorch, python"
"aws, azure, docker, hadoop, power bi, pytorch, rest, typescript","aws, power bi, python, typescript",1.0,3.8,3.0,1.0,0.564,"azure, docker, hadoop, pytorch, rest"
"airflow, ci/cd, node.js, power bi, pytorch, scikit-learn, spark","azure, excel, java, javascript, python, rest, tensorflow",1.0,0.8,0.0,0.0,0.174,"airflow, ci/cd, node.js, power bi, pytorch, scikit-learn, spark"
"azure, flask, git, power bi, r","aws, azure, excel, graphql, numpy, pandas, power bi, tableau, tensorflow",3.0,5.5,2.0,1.0,0.575,"flask, git, r"
"ci/cd, docker, etl, graphql, kubernetes, power bi, r","django, gcp, graphql, node.js, tableau",0.0,6.6,1.0,1.0,0.448,"ci/cd, docker, etl, kubernetes, power bi, r"
"airflow, django, hadoop, kubernetes, linux, pytorch, rest, scikit-learn","airflow, flask, gcp, git, kubernetes, r, react",1.0,3.2,2.0,0.0,0.446,"django, hadoop, linux, pytorch, rest, scikit-learn"
"azure, flask, hadoop, power bi, python, scikit-learn","hadoop, javascript, node.js, python, tensorflow",1.0,0.7,2.0,0.0,0.371,"azure, flask, power bi, scikit-learn"
"airflow, django, java, rest, react, tensorflow","git, hadoop, numpy, pandas, power bi, pytorch, python, rest, tableau",2.0,3.3,1.0,0.0,0.409,"airflow, django, java, react, tensorflow"
"ci/cd, java, kubernetes, numpy, pytorch, tableau","etl, gcp, git, hadoop, python, sql",1.0,3.2,0.0,0.0,0.246,"ci/cd, java, kubernetes, numpy, pytorch, tableau"
"airflow, azure, javascript, linux, power bi, r, tableau","aws, django, docker, etl, numpy, spark, tableau",1.0,2.7,1.0,0.0,0.331,"airflow, azure, javascript, linux, power bi, r"
"aws, ci/cd, docker, graphql, numpy, python","airflow, git, javascript, kubernetes, numpy, r, typescript",3.0,4.7,1.0,0.0,0.451,"aws, ci/cd, docker, graphql, python"
"airflow, azure, docker, flask, kubernetes, tableau","aws, graphql, javascript, node.js, numpy, power bi, sql, spark, typescript",1.0,3.3,0.0,0.0,0.249,"airflow, azure, docker, flask, kubernetes, tableau"
"django, flask, java, linux, r, spark, typescript","django, excel, graphql, rest, tensorflow",3.0,1.6,1.0,0.0,0.358,"flask, java, linux, r, spark, typescript"
"aws, ci/cd, etl, node.js, pandas, r, typescript","azure, django, linux, power bi, pytorch, python, scikit-learn, spark, tensorflow",1.0,3.7,0.0,0.0,0.261,"aws, ci/cd, etl, node.js, pandas, r, typescript"
"ci/cd, flask, graphql, kubernetes, linux, sql","airflow, azure, docker, gcp, git, python, rest, sql",1.0,6.6,1.0,1.0,0.448,"ci/cd, flask, graphql, kubernetes, linux"
"airflow, git, node.js, power bi, r, spark","aws, airflow, node.js, tensorflow",2.0,3.0,2.0,1.0,0.5,"git, power bi, r, spark"
"azure, django, etl, excel, java, power bi, typescript","azure, graphql, kubernetes, r, spark",3.0,2.9,1.0,0.0,0.397,"django, etl, excel, java, power bi, typescript"
"docker, etl, graphql, hadoop, kubernetes, r, sql","azure, docker, etl, javascript, kubernetes, numpy, power bi, rest, spark",3.0,4.3,3.0,1.0,0.639,"graphql, hadoop, r, sql"
"aws, ci/cd, javascript, linux, pandas, power bi, scikit-learn","azure, java, react, tensorflow",1.0,0.1,0.0,1.0,0.153,"aws, ci/cd, javascript, linux, pandas, power bi, scikit-learn"
"aws, django, graphql, javascript, kubernetes, pandas, python, tensorflow","gcp, git, graphql, scikit-learn, typescript",1.0,5.4,1.0,1.0,0.412,"aws, django, javascript, kubernetes, pandas, python, tensorflow"
"excel, linux, node.js, r, typescript","etl, kubernetes, numpy, scikit-learn, tensorflow",1.0,4.9,0.0,0.0,0.297,"excel, linux, node.js, r, typescript"
"etl, flask, java, kubernetes, power bi, pytorch","gcp, kubernetes, linux, node.js, pandas",2.0,0.6,1.0,0.0,0.328,"etl, flask, java, power bi, pytorch"
"airflow, flask, gcp, hadoop, sql, scikit-learn, spark","ci/cd, docker, etl, graphql, numpy, pandas, r, scikit-learn, typescript",2.0,3.0,1.0,1.0,0.4,"airflow, flask, gcp, hadoop, sql, spark"
"aws, ci/cd, flask, kubernetes, react, typescript","django, etl, excel, numpy, pandas, python, tableau",2.0,5.0,0.0,0.0,0.36,"aws, ci/cd, flask, kubernetes, react, typescript"
"django, gcp, graphql, java, tableau","docker, etl, linux, power bi, r, scikit-learn, spark",1.0,4.1,0.0,0.0,0.273,"django, gcp, graphql, java, tableau"
